ID,Start time,Completion time,Email,Name,Last modified time,Yaşınız,Cinsiyet,Eğitim Durumunuz,Aylık Ortalama Gelir Düzeyiniz,Güncel Çalışma Durumunuz,Şans oyunlarını ne sıklıkla oynarsınız?,"Oynadığınız oyunlarda ne sıklıkla kazanç yakalarsınız?
","Bugüne kadarki şans oyunu deneyiminizi düşündüğünüzde, genel maddi durumunuz nedir?","Şans oyunlarından (son 6-12 ay içerisindeki) tahmini toplam kazanç miktarınız hangi aralıktadır?
","Şans oyunlarından kazanç elde ettiğinizde, bu parayı genellikle nasıl değerlendirirsiniz?",En sık hangi tür oyunları tercih ediyorsunuz ?,Kaç yıldır şans oyunları/kumar ile ilgileniyorsunuz ?,Şans oyunlarında kazanmam büyük ölçüde şansa bağlıdır.,Doğru strateji kurarsam şans oyunlarında kazanma ihtimalim artar.,Kazandığımda bunun nedeni genellikle doğru hamleler yapmamdır. ,Yakın çevremde (arkadaş/aile) şans oyunlarından düzenli kazanan kişiler vardır.,Para kazanmak için uzun saatler çalışmak gerekir. ,Hayatta başarı ancak sabırlı ve disiplinli çalışmayla elde edilir.,Emek harcanmadan kazanılan paranın benim gözümde değeri düşüktür. ,"Çalışmadan elde edilen hızlı kazançlar (piyango vb.), insanın çalışma disiplinini bozar."," Bir işi başarmak için harcanan zaman ve ter, sonucun kendisinden daha değerlidir."
17,1/10/26 17:26:52,1/10/26 17:28:22,anonymous,,,22,Kadın,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,1,1,4,3,3,4,4,4
18,1/10/26 17:35:45,1/10/26 17:39:17,anonymous,,,24,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),1.001 - 5.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 yıldan az,5,3,4,5,3,4,2,5,2
19,1/10/26 17:42:16,1/10/26 17:43:07,anonymous,,,24,Erkek,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),0 - 1.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 yıldan az,3,3,3,3,3,3,3,3,3
20,1/10/26 17:44:01,1/10/26 17:45:29,anonymous,,,21,Kadın,Lisans,0 - 23.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1-3 kez,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),5.001 - 15.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,4,2,3,5,4,4,4,3,3
21,1/10/26 17:42:25,1/10/26 17:45:41,anonymous,,,23,Erkek,Lisans,35.001 - 60.000 TL,Sadece Öğrenciyim,Haftada birkaç kez,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",30.000 TL üzeri,"Temel ihtiyaçlarım (kira, fatura, market) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,2,5,5,1,2,5,5,5,1
22,1/10/26 17:46:41,1/10/26 17:48:50,anonymous,,,21,Kadın,Lisans,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",15.001 - 30.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Online Casino ve Şans Oyunları (Slot Oyunları (Sweet Bonanza, Big Bass vb.), Rulet, Poker, Blackjack vb.)",1 - 3 yıl,2,4,5,2,2,3,1,5,3
23,1/10/26 17:46:50,1/10/26 17:49:48,anonymous,,,20,Kadın,Lisans,35.001 - 60.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),0 - 1.000 TL,Biriktiririm / Yatırım yaparım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 yıldan az,1,1,1,1,1,1,1,1,1
24,1/10/26 17:51:16,1/10/26 17:52:56,anonymous,,,21,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Sık kazanırım (Genelde boş geçmem),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",15.001 - 30.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",1 - 3 yıl,5,2,3,5,3,5,3,5,4
25,1/10/26 17:56:42,1/10/26 17:58:48,anonymous,,,23,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1-3 kez,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),0 - 1.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",3- 5 yıl,2,4,4,5,3,4,2,2,3
26,1/10/26 17:57:40,1/10/26 17:58:49,anonymous,,,22,Erkek,Lise,23.001 - 35.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Oynadığımda neredeyse hiç kazanmam (%0-10),"Kârdayım (Kazandığım miktar, kaybettiğimden fazla)",0 - 1.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,5,5,5,5,5,5,5,5,5
27,1/10/26 17:57:49,1/10/26 17:59:38,anonymous,,,24,Erkek,Lisans,35.001 - 60.000 TL,İşsizim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),1.001 - 5.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",5 yıldan fazla,4,2,2,1,5,5,5,5,5
28,1/10/26 17:59:23,1/10/26 18:02:00,anonymous,,,19,Erkek,Lisans,0 - 23.000 TL,Sadece Öğrenciyim,Ayda 1'den az / Çok nadir,Nadiren kazanırım (%20-30),Zarardayım (Kaybettiğim miktar daha fazla),1.001 - 5.000 TL,Doğrudan tekrar şans oyunlarına/bahise yatırırım,"Spor Bahisleri (İddaa, Maç sonucu, Canlı bahis vb.)",3- 5 yıl,5,3,3,2,4,5,2,4,3
29,1/10/26 18:00:54,1/10/26 18:02:45,anonymous,,,20,Erkek,Lisans,23.001 - 35.000 TL,Hem Çalışıyor Hem Okuyorum,Ayda 1'den az / Çok nadir,Ara sıra kazanırım (Yarı yarıya diyebilirim),Başa baş noktasındayım (Kazandığım ve kaybettiğim eşit gibi),1.001 - 5.000 TL,"Keyfi harcamalar (yemek, eğlence, giyim vb.) için kullanırım","Klasik Şans Oyunları (Milli Piyango, Sayısal Loto, Kazı Kazan)",1 - 3 yıl,3,3,3,3,3,5,5,5,5
